"OWNER","TABLE_NAME","COLUMN_NAME","QUALIFIED_COL_NAME","COMMENTS","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","NULLABLE","DATA_DEFAULT","CHARACTER_SET_NAME","CHAR_LENGTH"
"WAZUA","ACCOUNT","EMAIL","EMAIL","이메일","VARCHAR2",50,,"N","","CHAR_CS",50
"WAZUA","ACCOUNT","IDX","IDX","회원번호","NUMBER",22,9,"N","","",0
"WAZUA","ACCOUNT","IMG","IMG","프로필이미지","VARCHAR2",255,,"Y","'-'
	","CHAR_CS",255
"WAZUA","ACCOUNT","DEL_FLAG","DEL_FLAG","삭제플래그","VARCHAR2",100,,"Y","'N'
	","CHAR_CS",100
"WAZUA","ACCOUNT","LEFT_DATE","LEFT_DATE","탈퇴일자","TIMESTAMP(6)",11,,"Y","","",0
"WAZUA","ACCOUNT","REG_DATE","REG_DATE","가입일자","TIMESTAMP(6)",11,,"N","","",0
"WAZUA","ACCOUNT","WAZLV_IDX","WAZLV_IDX","회원등급 - 참조","NUMBER",22,3,"Y","","",0
"WAZUA","ACCOUNT","PW","PW","비밀번호","VARCHAR2",50,,"N","","CHAR_CS",50
"WAZUA","ACCOUNT","NAME","NAME","이름","VARCHAR2",50,,"N","","CHAR_CS",50
"WAZUA","ACCOUNT","BIRTH","BIRTH","생년월일","DATE",7,,"N","","",0
"WAZUA","ANNOUNCE","ISEVENT","ISEVENT","공지사항과 이벤트 구분 0=공지사항 1=이벤트","NUMBER",22,1,"N","","",0
"WAZUA","ANNOUNCE","REG_DATE","REG_DATE","등록시간 +복합 주 키","TIMESTAMP(6)",11,,"N","","",0
"WAZUA","ANNOUNCE","VIEWCOUNT","VIEWCOUNT","조회수","NUMBER",22,11,"Y","0
	","",0
"WAZUA","ANNOUNCE","ACC_IDX","ACC_IDX","등록한 계정 +복합 주 키 + 외래키 (관리자 계정도 ACCOUNT 테이블에 있다고 일단 가정함","NUMBER",22,9,"N","","",0
"WAZUA","ANNOUNCE","TITLE","TITLE","제목","VARCHAR2",200,,"Y","''
	","CHAR_CS",200
"WAZUA","ANNOUNCE","CONTENTS","CONTENTS","내용","CLOB",4000,,"Y","''
	","CHAR_CS",0
"WAZUA","COMMENTS","REF_IDX","REF_IDX","","NUMBER",22,12,"Y","","",0
"WAZUA","COMMENTS","IDX","IDX","코멘트식별번호","NUMBER",22,12,"N","","",0
"WAZUA","COMMENTS","ACC_IDX","ACC_IDX","회원번호(참조키)","NUMBER",22,9,"N","","",0
"WAZUA","COMMENTS","ISBLIND","ISBLIND","블라인드","VARCHAR2",100,,"Y","","CHAR_CS",100
"WAZUA","COMMENTS","CONTENTS","CONTENTS","코멘트내용","CLOB",4000,,"N","","CHAR_CS",0
"WAZUA","COMMENTS","REG_DATE","REG_DATE","등록일자","TIMESTAMP(6)",11,,"N","","",0
"WAZUA","COMMENTS","MOVIE_IDX","MOVIE_IDX","영화번호(참조키)","NUMBER",22,8,"N","","",0
"WAZUA","INQUIRE","IDX","IDX","문의번호","NUMBER",22,9,"N","","",0
"WAZUA","INQUIRE","ACC_IDX","ACC_IDX","회원번호(참조키)","NUMBER",22,9,"N","","",0
"WAZUA","INQUIRE","CONTENTS","CONTENTS","문의내용","CLOB",4000,,"N","","CHAR_CS",0
"WAZUA","INQUIRE","RESPONSE","RESPONSE","답변내용","CLOB",4000,,"Y","","CHAR_CS",0
"WAZUA","INQUIRE","REG_DATE","REG_DATE","문의일자","TIMESTAMP(6)",11,,"N","","",0
"WAZUA","INQUIRE","RES_DATE","RES_DATE","답변일자","TIMESTAMP(6)",11,,"Y","","",0
"WAZUA","MOVGENRE_MAP","MOV_IDX","MOV_IDX","영화 식별 코드 - 외래키","NUMBER",22,8,"N","","",0
"WAZUA","MOVGENRE_MAP","GENRE_IDX","GENRE_IDX","장르 키 - 외래키","NUMBER",22,3,"N","","",0
"WAZUA","MOVGUYS","IDX","IDX","식별번호","NUMBER",22,7,"N","","",0
"WAZUA","MOVGUYS","NAME","NAME","이름","VARCHAR2",50,,"N","","CHAR_CS",50
"WAZUA","MOVGUYS_MAPPING","ROLE","ROLE","역할, 감독이냐 배우냐 등등","VARCHAR2",50,,"N","","CHAR_CS",50
"WAZUA","MOVGUYS_MAPPING","MOVGUYS_IDX","MOVGUYS_IDX","인물 식별 코드 - 외래키 + 복합 주 키","NUMBER",22,7,"N","","",0
"WAZUA","MOVGUYS_MAPPING","MOV_IDX","MOV_IDX","영화 식별 코드 - 외래키 + 복합 주 키","NUMBER",22,8,"N","","",0
"WAZUA","MOVGUYS_MAPPING","CHARACTER","CHARACTER","배역","VARCHAR2",50,,"Y","''
	","CHAR_CS",50
"WAZUA","MOVIE","IDX","IDX","영화번호","NUMBER",22,8,"N","","",0
